"status","code","msg","response__c","response__h","response__l","response__ch","response__cp","response__t","response__s","response__cty","response__ccy","response__exch","response__id","response__tm","info__exchanges","info__sectors","info__server_time","info__credit_count","info___t"
"","","","5085.30","5104.95","5036.55","+33.20","0.66%","1611050399","REDY","india","INR","NSE","63582","2021-01-19 09:59:59","","","","",""
"","","","2880.00","2929.00","2852.15","+7.00","0.24%","1611050399","EICH","india","INR","NSE","63583","2021-01-19 09:59:59","","","","",""
"","","","140.00","141.40","138.55","+2.10","1.52%","1611050399","GAIL","india","INR","NSE","63584","2021-01-19 09:59:59","","","","",""
"","","","1032.00","1052.50","1002.00","+32.80","3.28%","1611050399","GRAS","india","INR","NSE","63585","2021-01-19 09:59:59","","","","",""
"","","","987.00","997.00","979.35","+5.50","0.56%","1611050399","HCLT","india","INR","NSE","63586","2021-01-19 09:59:59","","","","",""
"","","","1501.85","1511.65","1467.00","+18.75","1.26%","1611050399","HDBK","india","INR","NSE","63587","2021-01-19 09:59:59","","","","",""
"","","","3229.00","3240.75","3170.50","+65.85","2.08%","1611050399","HROM","india","INR","NSE","63588","2021-01-19 09:59:59","","","","",""
"","","","2366.05","2382.10","2323.25","+33.45","1.43%","1611050399","HLL","india","INR","NSE","63589","2021-01-19 09:59:59","","","","",""
"","","","251.95","252.65","243.35","+8.80","3.62%","1611050399","HALC","india","INR","NSE","63590","2021-01-19 09:59:59","","","","",""
"","","","2651.05","2680.80","2575.00","+84.55","3.29%","1611050399","HDFC","india","INR","NSE","63591","2021-01-19 09:59:59","","","","",""
"","","","98.80","100.30","98.00","+0.50","0.51%","1611050399","IOC","india","INR","NSE","63592","2021-01-19 09:59:59","","","","",""
"","","","547.00","547.75","533.90","+13.85","2.6%","1611050399","ICBK","india","INR","NSE","63593","2021-01-19 09:59:59","","","","",""
"","","","940.15","952.00","936.25","+7.35","0.79%","1611050399","INBK","india","INR","NSE","63594","2021-01-19 09:59:59","","","","",""
"","","","1319.35","1331.00","1312.00","+7.30","0.56%","1611050399","INFY","india","INR","NSE","63595","2021-01-19 09:59:59","","","","",""
"","","","218.95","221.70","217.50","-0.80","-0.36%","1611050399","ITC","india","INR","NSE","63596","2021-01-19 09:59:59","","","","",""
"","","","395.65","397.75","381.60","+12.55","3.28%","1611050398","JSTL","india","INR","NSE","63597","2021-01-19 09:59:58","","","","",""
"","","","1888.80","1892.00","1845.25","+41.85","2.27%","1611050399","KTKM","india","INR","NSE","63598","2021-01-19 09:59:59","","","","",""
"","","","1370.40","1382.00","1337.00","+34.35","2.57%","1611050399","LART","india","INR","NSE","63599","2021-01-19 09:59:59","","","","",""
"","","","808.60","819.60","801.55","-0.40","-0.05%","1611050399","MAHM","india","INR","NSE","63600","2021-01-19 09:59:59","","","","",""
"","","","7905.00","7990.30","7835.00","+74.35","0.95%","1611050399","MRTI","india","INR","NSE","63601","2021-01-19 09:59:59","","","","",""
"","","","533.00","535.00","516.00","+17.50","3.39%","1611050399","APSE","india","INR","NSE","63602","2021-01-19 09:59:59","","","","",""
"","","","99.70","100.85","97.55","+2.15","2.2%","1611050399","NTPC","india","INR","NSE","63603","2021-01-19 09:59:59","","","","",""
"","","","98.35","99.00","97.50","+1.70","1.76%","1611050399","ONGC","india","INR","NSE","63604","2021-01-19 09:59:59","","","","",""
"","","","198.70","200.00","195.25","+2.95","1.51%","1611050399","PGRD","india","INR","NSE","63605","2021-01-19 09:59:59","","","","",""
"","","","2015.00","2031.00","1994.65","+31.05","1.57%","1611050399","RELI","india","INR","NSE","63606","2021-01-19 09:59:59","","","","",""
"","","","298.40","302.50","296.40","+3.95","1.34%","1611050399","SBI","india","INR","NSE","63607","2021-01-19 09:59:59","","","","",""
"","","","122.60","126.65","122.50","-0.15","-0.12%","1596794399","VDAN","india","INR","NSE","63608","2020-08-07 09:59:59","","","","",""
"","","","602.00","603.00","583.35","+20.55","3.53%","1611050399","SUN","india","INR","NSE","63609","2021-01-19 09:59:59","","","","",""
"","","","3265.60","3279.00","3232.00","+43.85","1.36%","1611050399","TCS","india","INR","NSE","63610","2021-01-19 09:59:59","","","","",""
"","","","258.75","261.70","251.30","+12.80","5.2%","1611050399","TAMO","india","INR","NSE","63611","2021-01-19 09:59:59","","","","",""
"","","","682.35","683.95","647.00","+15.65","2.35%","1611050399","TISC","india","INR","NSE","63612","2021-01-19 09:59:59","","","","",""
"","","","995.50","1008.45","987.20","-2.75","-0.28%","1611050399","TEML","india","INR","NSE","63613","2021-01-19 09:59:59","","","","",""
"","","","1516.10","1524.00","1501.00","+12.55","0.83%","1611050399","TITN","india","INR","NSE","63614","2021-01-19 09:59:59","","","","",""
"","","","5500.00","5535.00","5393.75","+114.00","2.12%","1611050399","ULTC","india","INR","NSE","63615","2021-01-19 09:59:59","","","","",""
"","","","563.05","570.90","553.65","+1.75","0.31%","1611050399","UPLL","india","INR","NSE","63616","2021-01-19 09:59:59","","","","",""
"","","","433.00","439.55","427.70","+1.45","0.34%","1611050399","WIPR","india","INR","NSE","63617","2021-01-19 09:59:59","","","","",""
"","","","17.90","18.00","17.60","+0.20","1.13%","1611050399","YESB","india","INR","NSE","63618","2021-01-19 09:59:59","","","","",""
"","","","224.80","226.95","220.30","+6.80","3.12%","1611050399","ZEE","india","INR","NSE","63619","2021-01-19 09:59:59","","","","",""
"","","","17770.50","17820.50","17670.00","+139.80","0.79%","1611050399","NEST","india","INR","NSE","63620","2021-01-19 09:59:59","","","","",""
"","","","257.30","260.65","256.20","-1.30","-0.5%","1611050399","BHRI","india","INR","NSE","63621","2021-01-19 09:59:59","","","","",""
"","","","1715.00","1720.90","1690.00","+13.50","0.79%","1611050397","ACC","india","INR","NSE","63622","2021-01-19 09:59:57","","","","",""
"","","","261.85","262.80","256.30","+5.80","2.27%","1611050399","ABUJ","india","INR","NSE","63623","2021-01-19 09:59:59","","","","",""
"","","","119.50","119.70","115.70","+5.20","4.55%","1611050399","ASOK","india","INR","NSE","63624","2021-01-19 09:59:59","","","","",""
